Timestamp,Frame,Temperature
20241008_234355,saved_frames\frame_20241008_234355.jpg,36.666666666666664
20241008_234604,saved_frames\frame_20241008_234604.jpg,36.76190476190476
20241008_234606,saved_frames\frame_20241008_234606.jpg,36.76190476190476
20241008_234606,saved_frames\frame_20241008_234606.jpg,36.76190476190476
20241008_234606,saved_frames\frame_20241008_234606.jpg,38.666666666666664
20241008_234607,saved_frames\frame_20241008_234607.jpg,38.666666666666664
20241008_234607,saved_frames\frame_20241008_234607.jpg,36.76190476190476
20241008_234607,saved_frames\frame_20241008_234607.jpg,36.95238095238095
20241008_234607,saved_frames\frame_20241008_234607.jpg,40.0
20241008_234607,saved_frames\frame_20241008_234607.jpg,40.0
20241008_234607,saved_frames\frame_20241008_234607.jpg,40.0
20241008_234608,saved_frames\frame_20241008_234608.jpg,37.904761904761905
20241008_234608,saved_frames\frame_20241008_234608.jpg,40.0
20241008_234608,saved_frames\frame_20241008_234608.jpg,40.0
20241008_234608,saved_frames\frame_20241008_234608.jpg,40.0
20241008_234608,saved_frames\frame_20241008_234608.jpg,40.0
20241008_234608,saved_frames\frame_20241008_234608.jpg,40.0
20241008_234609,saved_frames\frame_20241008_234609.jpg,40.0
20241008_234609,saved_frames\frame_20241008_234609.jpg,40.0
20241008_234609,saved_frames\frame_20241008_234609.jpg,40.0
